trip_id,service_id,route_id,trip_headsign,trip_short_name,direction_id,shape_id
1136_1000012_A_VE.PG_151600,32,A,La Pardieu Gare,,0,2533425114923570
1132_1000001_13_5_094800,3,13,AUBIÈRE Quartier Chambon,,1,2533425114923612
1132_1000001_21_6_174300,3,21,CÉBAZAT CHU L. Michel,,1,2533425114923576
988_1000008_A_CH.PG_132800,33,A,La Pardieu Gare,,0,2533425114923569
1132_1000001_12_2_113800,3,12,AULNAT St Exupéry,,1,2533425114923606
925_1000002_24_3_140700,1,24,BLANZAT Clos St Vincent,,1,2533425114923622
1156_1000003_36PS.PH_101300,2,36,PONT-DU-CHÂTEAU Chambon Haut,,1,2533425114923641
925_1000002_9_5_175000,1,9,Trémonteix Paul Eychart,,0,2533425114923636
1132_1000001_4_16_100500,3,4,Trémonteix Charcot,,1,2533425114923630
1132_1000001_21_6_162200,3,21,CÉBAZAT CHU L. Michel,,1,2533425114923576
1163_1000001_26_7_161000,3,26,ROYAT Pl. Allard,,0,2533425114923651
1142_1000013_B_RA.JV_130000,24,B,Jules Verne,,1,2533425114923564
1163_1000001_38_2_112300,3,38,PONT-DU-CHÂTEAU Lamartine,,1,2533425114923667
925_1000002_03AR.GC_161600,1,3,GERZAT Champfleuri,,1,2533425114923571
1142_1000013_B_1_193200,24,B,ROYAT Pl. Allard,,0,2533425114923561
925_1000002_21_6_162900,1,21,CÉBAZAT CHU L. Michel,,1,2533425114923576
925_1000002_03GC.AR_134900,1,3,AUBIÈRE Pl. des Ramacles,,0,2533425114923573
1165_1000002_27LF.RG_201700,1,27,ROMAGNAT Gergovia,,0,2533425114923638
1156_1000003_36PH.PS_193000,2,36,Faculté,,0,2533425114923640
1132_1000001_08VA.BA_110300,3,8,"BEAUMONT Pl. d'Armes",,1,2533425114923596
1132_1000001_24_3_072700,3,24,BLANZAT Clos St Vincent,,1,2533425114923622
883_1000001_L40_11_180500,9,L40,Grassette,,1,2533425114923706
1130_1000011_A_1_192700,34,A,Les Vergnes,,1,2533425114923567
925_1000002_13_5_202100,1,13,AUBIÈRE Quartier Chambon,,1,2533425114923612
1017_1000001_B_2_064500,23,B,AULNAT St Exupéry,,1,2533425114923562
1163_1000001_42BE.BA_120200,3,42,BEAUMONT Collège Molière,,0,2533425114923673
1165_1000002_27RG.LF_071600,1,27,Lycée La Fayette,,1,2533425114923639
925_1000002_9_5_122300,1,9,Trémonteix Paul Eychart,,0,2533425114923636
1132_1000001_03AR.GC_092600,3,3,GERZAT Champfleuri,,1,2533425114923571
1136_1000012_A_PG.VE_091500,32,A,Les Vergnes,,1,2533425114923567
1163_1000001_27RG.LF_121800,3,27,Lycée La Fayette,,1,2533425114923639
1136_1000012_A_PG.VE_164600,32,A,Les Vergnes,,1,2533425114923567
1017_1000001_C_CA.DC_103800,23,C,DURTOL Clinique,,0,2533425114923565
1156_1000003_41_2_150000,6,41,CHU G. Montpied,,1,2533425114923645
1017_1000001_C_CA.DC_151900,23,C,DURTOL Clinique,,0,2533425114923565
1132_1000001_4_6_071300,3,4,CEYRAT Libération,,0,2533425114923584
925_1000002_10_8_153800,1,10,Tamaris,,0,2533425114923605
925_1000002_03GC.AR_131300,1,3,AUBIÈRE Pl. des Ramacles,,0,2533425114923573
1115_1000003_3_3_135800,2,3,Les Vignes,,1,2533425114923579
1132_1000001_23_1_181500,3,23,"COURNON Plan d'Eau",,1,2533425114923620
1156_1000003_L31_2_174900,2,L31,Parc de Montjuzet,,0,2533425114923647
1163_1000001_40_1_100900,3,40,ORCINES Gare du Panoramique des Dômes,,1,2533425114923642
925_1000002_12PI.RS_181800,1,12,ROMAGNAT Les Sports,,0,2533425114923608
1130_1000011_A_PG.VE_061300,34,A,Les Vergnes,,1,2533425114923567
925_1000002_12PI.RS_151600,1,12,ROMAGNAT Les Sports,,0,2533425114923608
1163_1000001_38PG.PB_174700,3,38,PONT-DU-CHÂTEAU Lamartine,,1,2533425114923671
1132_1000001_23CP.LL_110500,3,23,Lycée La Fayette,,0,2533425114923621
1132_1000001_21_6_075700,3,21,CÉBAZAT CHU L. Michel,,1,2533425114923576
1132_1000001_03GC.AR_191900,3,3,AUBIÈRE Pl. des Ramacles,,0,2533425114923573
946_1000002_C_DC.CA_144800,1,C,COURNON Allier,,1,2533425114923566
1163_1000001_38_4_075300,3,38,Gare de Pont-du-Château,,0,2533425114923669
1123_1000003_C_DC.CA_080700,2,C,COURNON Allier,,1,2533425114923566
1132_1000001_08BA.VA_164800,3,8,Vallières,,0,2533425114923594
1132_1000001_13_5_133400,3,13,AUBIÈRE Quartier Chambon,,1,2533425114923612
1123_1000003_B_2_225300,29,B,AULNAT St Exupéry,,1,2533425114923562
1023_1000007_A_VE.PG_063500,10,A,La Pardieu Gare,,0,2533425114923570
1163_1000001_41_1_161500,3,41,ROYAT Pl. Allard,,0,2533425114923644
946_1000002_B_2_182000,1,B,AULNAT St Exupéry,,1,2533425114923562
1017_1000001_B_1_134200,23,B,ROYAT Pl. Allard,,0,2533425114923561
1163_1000001_L28_1_071000,7,L28,DURTOL Clinique,,0,2533425114923676
1142_1000013_C_CA.DC_185700,24,C,DURTOL Clinique,,0,2533425114923565
1163_1000001_38_3_123700,3,38,LEMPDES Le Pontel,,0,2533425114923668
946_1000002_B_1_151100,1,B,ROYAT Pl. Allard,,0,2533425114923561
1023_1000007_A_VE.PG_101000,10,A,La Pardieu Gare,,0,2533425114923570
1132_1000001_03GC.AR_140400,3,3,AUBIÈRE Pl. des Ramacles,,0,2533425114923573
1017_1000001_B_RA.JV_155100,23,B,Jules Verne,,1,2533425114923564
1115_1000003_5_3_115800,2,5,CHAMALIÈRES Aristide Briand,,1,2533425114923585
1142_1000013_C_DC.CA_140100,24,C,COURNON Allier,,1,2533425114923566
1115_1000003_5_4_190300,2,5,ROYAT AvanC-Breuil,,0,2533425114923586
1163_1000001_L32_1_172800,3,L32,Croix Blanche,,0,2533425114923684
1132_1000001_13PH.HC_133500,3,13,Hauts de CHAMALIÈRES,,0,2533425114923615
1115_1000003_03VI.AR_174800,2,3,AUBIÈRE Pl. des Ramacles,,0,2533425114923574
1132_1000001_24BC.CH_092500,3,24,Champratel,,0,2533425114923623
946_1000002_B_RA.JV_143600,1,B,Jules Verne,,1,2533425114923564
1163_1000001_37_1_170400,3,37,PÉRIGNAT-ÈS-ALLIER La Garde,,0,2533425114923664
717_1000001_C_DC.CA_204200,16,C,COURNON Allier,,1,2533425114923566
1023_1000007_A_1_083000,3,A,Les Vergnes,,1,2533425114923567
1132_1000001_3_13_163000,3,3,Patural,,1,2533425114923627
925_1000002_13QC.HC_123900,1,13,Hauts de CHAMALIÈRES,,0,2533425114923617
1132_1000001_21_5_094600,3,21,Lycée La Fayette,,0,2533425114923575
1165_1000002_34CG.CP_153400,1,34,LE CENDRE Pandières,,0,2533425114923662
1017_1000001_C_DC.CA_120900,23,C,COURNON Allier,,1,2533425114923566
988_1000008_A_VE.PG_140300,31,A,La Pardieu Gare,,0,2533425114923570
988_1000008_A_VE.PG_141000,33,A,La Pardieu Gare,,0,2533425114923570
1132_1000001_5_5_104800,3,5,ROYAT AvanC-Breuil,,0,2533425114923635
1123_1000003_B_JV.RA_062700,2,B,ROYAT Pl. Allard,,0,2533425114923563
1023_1000007_A_VE.PG_115100,3,A,La Pardieu Gare,,0,2533425114923570
1163_1000001_28_5_181800,3,28,Champratel,,0,2533425114923656
946_1000002_B_2_174400,1,B,AULNAT St Exupéry,,1,2533425114923562
925_1000002_21_6_124800,1,21,CÉBAZAT CHU L. Michel,,1,2533425114923576
1142_1000013_B_2_090200,24,B,AULNAT St Exupéry,,1,2533425114923562
925_1000002_5_5_203400,1,5,ROYAT AvanC-Breuil,,0,2533425114923635
1132_1000001_12_3_132400,3,12,ROMAGNAT Les Sports,,0,2533425114923607
1165_1000002_42BE.BA_121900,1,42,BEAUMONT Collège Molière,,0,2533425114923673
1142_1000013_C_DC.CA_122300,24,C,COURNON Allier,,1,2533425114923566
1163_1000001_7_5_170000,3,7,Les Côtes,,0,2533425114923675
1142_1000013_B_JV.RA_170500,24,B,ROYAT Pl. Allard,,0,2533425114923563
1017_1000001_C_CA.DC_061900,23,C,DURTOL Clinique,,0,2533425114923565
1156_1000003_36PH.PS_182500,2,36,Faculté,,0,2533425114923640
946_1000002_B_RA.JV_062700,1,B,Jules Verne,,1,2533425114923564
925_1000002_4_16_191400,1,4,Trémonteix Charcot,,1,2533425114923630
1123_1000003_B_JV.RA_194100,2,B,ROYAT Pl. Allard,,0,2533425114923563
1163_1000001_31_2_184300,3,31,Champratel,,0,2533425114923661
886_1000007_L37_2_123700,5,L37,ROMAGNAT Opme,,1,2533425114923700
886_1000007_L38_2_120500,5,L38,PÉRIGNAT-LES-SARLIEVE Les Horts,,1,2533425114923702
1163_1000001_38_4_150700,3,38,Gare de Pont-du-Château,,0,2533425114923669
1023_1000007_A_VE.PG_083800,10,A,La Pardieu Gare,,0,2533425114923570
1156_1000003_40_2_192600,6,40,CHAMALIÈRES Aristide Briand,,0,2533425114923643
1163_1000001_27RO.LL_103000,3,27,Lycée La Fayette,,1,2533425114923654
1132_1000001_24_3_134300,3,24,BLANZAT Clos St Vincent,,1,2533425114923622
925_1000002_10_8_143900,1,10,Tamaris,,0,2533425114923605
1132_1000001_4_13_112300,3,4,Trémonteix Charcot,,1,2533425114923583
1132_1000001_21_6_103700,3,21,CÉBAZAT CHU L. Michel,,1,2533425114923576
1023_1000007_A_1_202500,10,A,Les Vergnes,,1,2533425114923567
1142_1000013_B_JV.RA_134800,24,B,ROYAT Pl. Allard,,0,2533425114923563
1132_1000001_03VI.AR_055300,3,3,AUBIÈRE Pl. des Ramacles,,0,2533425114923574
1163_1000001_26_1_180300,3,26,CEYRAT Fontimbert,,1,2533425114923648
1165_1000002_31_2_080000,1,31,Champratel,,0,2533425114923661
1132_1000001_08BA.VA_133800,3,8,Vallières,,0,2533425114923594
1132_1000001_08BA.VA_205000,3,8,Vallières,,0,2533425114923594
1132_1000001_4_16_084900,3,4,Trémonteix Charcot,,1,2533425114923630
1115_1000003_5_3_130200,2,5,CHAMALIÈRES Aristide Briand,,1,2533425114923585
988_1000008_A_VE.PG_091600,31,A,La Pardieu Gare,,0,2533425114923570
925_1000002_5_5_185800,1,5,ROYAT AvanC-Breuil,,0,2533425114923635
925_1000002_03AR.GC_100700,1,3,GERZAT Champfleuri,,1,2533425114923571
883_1000001_L40_1_083300,10,L40,Collège de la Ribeyre,,0,2533425114923704
1132_1000001_13PH.HC_153700,3,13,Hauts de CHAMALIÈRES,,0,2533425114923615
